# timestamp,tx,ty,tz,qx,qy,qz,qw
10004.995784780,36.952608753,18.606614301,1.040842992,0.627700344,-0.412810137,-0.422820295,0.506757404
10005.030309031,36.956521700,18.609976805,1.036381590,0.625990936,-0.411654105,-0.419771097,0.512316769
10005.063724398,36.971427323,18.612995183,1.036236483,0.625967697,-0.411194228,-0.418355630,0.513869940
10005.095882171,36.987372494,18.611572118,1.036043412,0.628156095,-0.405318382,-0.417658420,0.516428479
10005.129619312,36.991211693,18.612748864,1.038295145,0.628155255,-0.403103198,-0.417042707,0.518656117
10005.162760209,37.002002526,18.615017076,1.042927635,0.627931848,-0.399499921,-0.417292163,0.521506144
10005.196173212,37.010151063,18.618818695,1.049049654,0.627529823,-0.396183860,-0.417482755,0.524359437
10005.229680238,37.018337284,18.623422009,1.057066976,0.627061416,-0.392670594,-0.417759793,0.527333424
10005.263064355,37.028434474,18.628402016,1.066924259,0.627382246,-0.388235689,-0.417342317,0.530556273
10005.297209450,37.032370068,18.634800642,1.077384720,0.628740962,-0.383419607,-0.415840173,0.533620800
10005.332217267,37.038398511,18.640955919,1.089394661,0.630991291,-0.377449536,-0.413583568,0.536964125
10005.365816544,37.040575316,18.648676896,1.102851787,0.633092546,-0.371726578,-0.411114517,0.540368424
10005.399169815,37.046334154,18.657388614,1.118109426,0.633932424,-0.367897312,-0.409251511,0.543410020
10005.432425359,37.039447015,18.668500459,1.130413510,0.635225488,-0.363056446,-0.408178953,0.545956535
10005.465467658,37.036017855,18.679915399,1.144900442,0.636307507,-0.360402646,-0.406696991,0.547558441
10005.500097219,37.029218037,18.690527948,1.160064444,0.638183224,-0.360159249,-0.404729121,0.546993442
10005.533381339,37.024225781,18.704754986,1.176943053,0.637941148,-0.361060575,-0.404327909,0.546978331
10005.566750339,37.018096053,18.718774596,1.193667782,0.637775791,-0.362273783,-0.404136095,0.546510534
10005.600267394,37.013405184,18.732304873,1.211899364,0.637587594,-0.363562863,-0.403983131,0.545986936
10005.633562784,37.005318130,18.746601131,1.229699503,0.638296616,-0.364317583,-0.402570521,0.545698731
10005.666632307,36.995956372,18.761352424,1.247632633,0.640031569,-0.363735991,-0.399279851,0.546471702
10005.699675451,36.986935482,18.776450782,1.265066225,0.642085612,-0.363016980,-0.395420119,0.547346023
10005.733424514,36.979516060,18.793416008,1.280491815,0.643617963,-0.361709925,-0.391966911,0.548893240
10005.767179254,36.971157111,18.809697369,1.296348583,0.644989214,-0.361381217,-0.388554322,0.549925512
10005.800668676,36.960946411,18.825693709,1.312049535,0.646293721,-0.361397796,-0.384865867,0.550975792
