timestamp,ox,oy,oz,r1x,r1y,r1z,r2x,r2y,r2z
10002.502515,36.675927,21.081424,1.097368,-1437.145723,-1480.323638,-355.124552,-1760.067013,-1165.825096,-283.566851
10002.502515,36.675927,21.081424,1.097368,-1101.982493,-1727.782481,-410.394502,-1405.123623,-1507.172814,-365.350018
10002.535875,36.681152,21.056287,1.091810,-1437.013061,-1489.403529,-356.714176,-1777.416796,-1165.319299,-284.089524
10002.535875,36.681152,21.056287,1.091810,-1142.386713,-1704.316943,-408.413868,-1414.382810,-1507.926408,-364.017431
10002.569301,36.685914,21.030292,1.088325,-1452.470876,-1485.823194,-354.212157,-1785.179249,-1174.435660,-289.486024
10002.569301,36.685914,21.030292,1.088325,-534.224484,-2007.284370,-488.774464,-1095.820330,-1737.098006,-422.709525
10002.569301,36.685914,21.030292,1.088325,-1100.619280,-1733.982312,-411.347433,-1420.985992,-1511.413277,-369.130506
10002.602612,36.686037,21.006323,1.084987,-1460.473235,-1488.168979,-356.120151,-1798.262839,-1175.271075,-288.087128
10002.602612,36.686037,21.006323,1.084987,-678.125084,-1950.198153,-465.761836,-1101.724691,-1737.575207,-423.105563
10002.602612,36.686037,21.006323,1.084987,-1106.516222,-1734.487768,-411.750272,-1427.680303,-1514.276350,-366.433409
10002.635972,36.682531,20.983333,1.083558,-1463.953824,-1492.935404,-358.005182,-1804.554473,-1180.745123,-293.767793
10002.635972,36.682531,20.983333,1.083558,-560.895298,-1996.722803,-482.907829,-1104.347923,-1740.384823,-426.179615
10002.635972,36.682531,20.983333,1.083558,-1109.181732,-1737.291918,-414.849089,-1430.932130,-1518.950180,-367.996539
10002.669371,36.675687,20.961147,1.083888,-940.364607,-1835.018991,-447.890919,-1413.679939,-1538.093579,-373.081415
10002.669371,36.675687,20.961147,1.083888,-536.554469,-2008.230255,-490.054705,-934.465484,-1837.901124,-440.272080
10002.702715,36.666314,20.940006,1.087834,-1116.874395,-1741.959493,-418.379085,-1435.004072,-1526.812874,-374.921502
10002.736070,36.656188,20.919639,1.092955,-1468.608845,-1504.741403,-366.913072,-1719.102168,-1284.683859,-318.959275
10002.769440,36.645233,20.899938,1.099734,-582.722109,-2005.059339,-494.255851,-1107.084960,-1757.048660,-435.038682
10002.769440,36.645233,20.899938,1.099734,-1116.968140,-1751.021404,-427.642648,-1444.270371,-1528.805003,-383.376965
10002.802805,36.633722,20.881247,1.107889,-1480.498735,-1505.408356,-374.514164,-1813.819864,-1200.172842,-308.117879
10002.802805,36.633722,20.881247,1.107889,-579.153902,-2009.184647,-497.383329,-1106.970419,-1761.286891,-438.775466
10002.802805,36.633722,20.881247,1.107889,-1109.724789,-1759.509755,-433.325479,-1433.936778,-1541.951267,-387.764991
10002.836174,36.623269,20.864636,1.113505,-527.154733,-2028.012628,-502.302310,-980.541961,-1834.590915,-453.312799
10002.869561,36.617375,20.843735,1.116790,-718.224797,-1955.615859,-483.764815,-1106.795212,-1769.466847,-446.978557
10002.869561,36.617375,20.843735,1.116790,-1112.529603,-1765.902809,-436.264765,-1391.750834,-1588.113130,-400.747192
10002.902908,36.614577,20.821857,1.118725,-669.706239,-1972.725813,-494.906401,-1126.966407,-1763.287624,-447.460090
10002.902908,36.614577,20.821857,1.118725,-1129.863303,-1761.524137,-442.147101,-1477.319986,-1537.520460,-392.896400
10002.936280,36.608049,20.799494,1.127414,-650.669511,-1978.216546,-494.647164,-1112.378946,-1777.702531,-449.334798
10002.936280,36.608049,20.799494,1.127414,-1118.226589,-1774.297074,-438.742241,-1478.992180,-1550.589755,-395.314979
10002.969662,36.608316,20.775782,1.125890,-505.488189,-2019.669309,-513.015505,-1111.713296,-1784.977977,-454.106846
10002.969662,36.608316,20.775782,1.125890,-1117.593615,-1781.729305,-443.541615,-1490.612571,-1558.651797,-396.130428
10003.003022,36.609801,20.750351,1.123965,-504.096557,-2016.009153,-512.538144,-1123.853469,-1786.839050,-459.239102
10003.003022,36.609801,20.750351,1.123965,-1125.905749,-1785.627203,-449.342931,-1493.599368,-1574.076488,-404.630055
10003.036371,36.609950,20.723930,1.120780,-720.263813,-1953.067451,-491.906872,-1132.838188,-1790.624264,-461.674106
10003.069740,36.612555,20.693952,1.118482,-656.112207,-1972.900900,-501.204508,-1137.203747,-1794.752630,-463.921780
10003.103115,36.612695,20.665028,1.114206,-651.740620,-1974.999441,-500.914036,-1001.495359,-1857.418535,-473.450964
10003.136475,36.613313,20.635795,1.110182,-619.314933,-1984.233259,-511.836024,-1001.792653,-1859.204074,-476.615267
10003.169861,36.615587,20.606442,1.105504,-687.532445,-1966.865018,-500.997637,-1013.441306,-1856.295734,-481.284559
